id,source,keyword,time,comment,score
199,PTT,蝦皮,2023-05-19,優惠券都只能用app領，應該是app限定,0.002719
200,PTT,蝦皮,2023-05-19,瞭解了XD...原來電腦派就是該死QQ,0.006615
201,PTT,蝦皮,2023-05-19,蝦皮直接把電腦版的功能關了，專心維護a,0.355053
202,PTT,蝦皮,2023-05-19,是，連蝦蝦果園現在都幾乎沒有種蝦,0.000635
203,PTT,蝦皮,2023-05-19,然後賣家被抽的手續費越來越高,0.00004
204,PTT,蝦皮,2023-05-19,果園一直都有蝦幣阿，只是你手腳要快而已,0.199317
205,PTT,蝦皮,2023-05-19,不是沒給優惠就是走下坡，只是客戶飽和,0.001975
206,PTT,蝦皮,2023-05-19,"非活動日賣個500的東西抽我44塊 我甚至不",0.000062
207,PTT,蝦皮,2023-05-20,我白金蝦+聯名卡的店到店免運卷都用,0.002143
208,PTT,蝦皮,2023-05-20,和樓上一樣，而且消費次數減少，總額也,0.001876
209,PTT,蝦皮,2023-05-20,台灣的蝦皮賺錢但是用台灣消費者的錢去補母,0.009498
210,PTT,蝦皮,2023-05-20,"遇過同樣賣家與商品,露天價格比蝦皮便宜",0.24028
211,PTT,蝦皮,2023-05-20,現在如果可以我都盡量跟買家協調面交,0.000425
212,PTT,蝦皮,2023-05-20,免運券真的變好少，有的還限制店家,0.002669
213,PTT,蝦皮,2023-05-21,"是 已經很少逛了 有夠難用",0.019175
214,PTT,蝦皮,2023-05-21,蝦皮優惠超複雜，很有時間研究才用,0.994623
215,PTT,蝦皮,2023-05-22,"露天2.5% 蝦皮7.5% 我蝦皮也賣比較貴",0.000709
216,PTT,蝦皮,2023-05-22,對買家來講，優惠限制多又複雜；對賣家而,0.014323
217,PTT,蝦皮,2023-05-22,對於那種個人賣場，我都直接談面交或,0.000143
218,PTT,蝦皮,2023-05-22,進入小遊戲看推薦商品的搜尋方法是什麼,0.918558
219,PTT,蝦皮,2023-05-23,"下面出現的推薦商品 是你真的想找的",0.020418
220,PTT,蝦皮,2023-05-23,蝦皮一個月可以10幾次免運，不想學免運就付,0.000042
221,PTT,蝦皮,2023-05-27,記得以前露天成交手續費超低，現在蝦皮也,0.002881
222,PTT,蝦皮,2023-05-19,幣的選項，剩一些廠商優惠券,0.006827
223,PTT,蝦皮,2023-05-19,的差不多了，何必還要灑大錢,0.00018
224,PTT,蝦皮,2023-05-19,主要是母公司其他業務財報虧錢，台灣,0.000376
225,PTT,蝦皮,2023-05-19,我知道還有種蝦幣的選項，但是以前,0.017186
226,PTT,蝦皮,2023-05-19,沒那麼難搶，我都佛心種常常還是選,0.089689
227,PTT,蝦皮,2023-05-19,得到，現在很難了，所以我寫「幾乎,0.152085
228,PTT,蝦皮,2023-05-19,」，現在手腳不夠快就搶不到,0.000055
229,PTT,蝦皮,2023-05-19,賣家手續費抽的高這個真的很有感，,0.99602
230,PTT,蝦皮,2023-05-19,最近連續遇到好幾個賣家直接問要不,0.000777
231,PTT,蝦皮,2023-05-19,要加Line私下交易一樣貨到付款，因,0.000806
232,PTT,蝦皮,2023-05-19,是，蝦皮現在已經進入到養套殺中的,0.186029
233,PTT,蝦皮,2023-05-19,通常在早上6點前都還有蝦幣的選項,0.002547
234,PTT,蝦皮,2023-05-20,就算蝦皮看起來變爛了，可以兩種優惠,0.001814
235,PTT,蝦皮,2023-05-20,卷加上使用蝦幣折抵，價格還是比其他,0.005869
236,PTT,蝦皮,2023-05-20,"家好吧？ 之前在看同一個商品其他家就",0.228217
237,PTT,蝦皮,2023-05-20,不完，很多不能用，只有聯名卡的無限,0.000594
238,PTT,蝦皮,2023-05-20,賣家手續費都快抽到10%，客服要打,0.000033
239,PTT,蝦皮,2023-05-20,"以前調漲手續費前後還會多發一點折價券 現在",0.000559
240,PTT,蝦皮,2023-05-20,"直接不演了 漲手續+優惠縮水",0.000036
241,PTT,蝦皮,2023-05-20,"雙方都還算順的地點 然後折價給對方",0.004329
242,PTT,蝦皮,2023-05-20,這樣我還比較省包裝過程跟入帳時間,0.007809
243,PTT,蝦皮,2023-05-20,"就店家不參與活動阿 配合活動又被多搶錢",0.004063
244,PTT,蝦皮,2023-05-21,"題外，有人真抽到那個免運卷嗎？ 只是放",0.003048
245,PTT,蝦皮,2023-05-21,"很久沒有用了喔 最讓我受不了的是",0.001554
246,PTT,蝦皮,2023-05-21,"他的搜尋器爛掉了 不過無所謂了",0.000113
247,PTT,蝦皮,2023-05-21,"蝦皮的正確搜尋方法，重測廣告id 查詢",0.00741
248,PTT,蝦皮,2023-05-21,你要的商品，進入小遊戲觀看推薦商品,0.993892
249,PTT,蝦皮,2023-05-21,蝦皮要搭配品牌給折扣才會便宜,0.029907
250,PTT,蝦皮,2023-05-21,只剩免運券了，折價券門檻越調越高,0.000514
251,PTT,蝦皮,2023-05-21,最近有發一張499免運，覺得是在試水溫,0.005112
252,PTT,蝦皮,2023-05-21,比價網要等他搜到你才能看到,0.000264
253,PTT,蝦皮,2023-05-21,我還是寧可去其他平台用沒壞掉的搜尋,0.000262
254,PTT,蝦皮,2023-05-22,言，成交手續費高到嚇死人，總之越來越爛,0.000034
255,PTT,蝦皮,2023-05-23,"然後手續費7.5%起跳 活動日再加+1%",0.00102
256,PTT,蝦皮,2023-05-23,"羊毛出在羊身上 你的運費其實是自己",0.002931
257,PTT,蝦皮,2023-05-19,白金蝦的免運券用不掉，馬的有夠智,0.005478
258,PTT,蝦皮,2023-05-17,"然後建議不要按完成訂單 賣家拿到錢",0.000047
259,PTT,蝦皮,2023-05-17,建議直接找你要取貨的那家店問能不能,0.000047
260,PTT,蝦皮,2023-05-17,"有證件照片可以親友代領 成功過很多次",0.988242
261,PTT,蝦皮,2023-05-18,拿照片的很看店員，有的就算認識我也要正本,0.99953
262,PTT,蝦皮,2023-05-18,可以請朋友開視訊，給店員看本人拿證,0.000694
263,PTT,蝦皮,2023-05-18,隔離期是拿對方證件照+開視訊，店,0.000042
264,PTT,蝦皮,2023-05-18,開健保app就可以領，戴安全帽口罩，店員,0.004209
265,PTT,蝦皮,2023-05-19,我有試過照片政見可以領耶～或是你可以,0.009461
266,PTT,蝦皮,2023-05-19,突然發現智取店的好處了，不用看證件,0.002618
267,PTT,蝦皮,2023-05-19,我證件正本給家人，請家人幫忙取貨都,0.016369
268,PTT,蝦皮,2023-05-19,"我覺得還是滿看當班人員的 我哥之前取",0.080723
269,PTT,蝦皮,2023-05-19,有同樣情況過，賣家說直接不領就好，,0.00005
270,PTT,蝦皮,2023-05-19,"你按確認收貨,怎麼會退你錢,就沒辦法官方",0.000033
271,PTT,蝦皮,2023-05-21,所以還是貨到付款簡單，不用證件,0.00013
272,PTT,蝦皮,2023-05-23,以後來不及取貨的都用貨到付款,0.000035
273,PTT,蝦皮,2023-05-23,家人有戶口名簿嗎？我家人拿戶口名簿幫我,0.00446
274,PTT,蝦皮,2023-05-17,不行，店到店那邊超過七天未取就是,0.000033
275,PTT,蝦皮,2023-05-17,刷條碼退回原店，這是SOP，跟你有沒,0.000033
276,PTT,蝦皮,2023-05-17,打電話到取貨的那間店問一下可不可以,0.000043
277,PTT,蝦皮,2023-05-17,"保留吧 但店家沒有義務幫你處理所以",0.001035
278,PTT,蝦皮,2023-05-17,"可能就消失 你讓商品退回去還可以拿",0.000033
279,PTT,蝦皮,2023-05-17,幫你保留，雖然高機率會被拒絕XD，但,0.051842
280,PTT,蝦皮,2023-05-17,可以問問看~早上的店員不行就問晚上的,0.000356
281,PTT,蝦皮,2023-05-17,"(?) 然後建議不要按完成，因為按了更",0.000714
282,PTT,蝦皮,2023-05-17,然後除了店員願意幫你保留之外沒有其,0.001379
283,PTT,蝦皮,2023-05-18,之前蝦皮店到店有試過用證件照片取貨,0.003778
284,PTT,蝦皮,2023-05-18,，店員說要看正本，所以不一定可以,0.005325
285,PTT,蝦皮,2023-05-18,件的畫面，有成功取過，這是蝦皮官網,0.001842
286,PTT,蝦皮,2023-05-19,一件19元的商品用手機秀證件照不給取,0.000036
287,PTT,蝦皮,2023-05-19,戴安全帽+口罩+身分證照片都很醜，店員,0.000089
288,PTT,蝦皮,2023-05-19,根本認不出來，性別正確就好,0.00632
289,PTT,蝦皮,2023-05-19,"退貨流程,國內賣家都辦不到,何況海外賣家",0.000036
290,PTT,蝦皮,2023-05-23,領過有成功～證件影本很看店員，有些比較,0.995484
291,PTT,蝦皮,2023-05-23,怕出事的會拒絕，就也不能說什麼,0.000144
292,PTT,蝦皮,2023-05-16,"問店家，若金額一樣 保險方式是重下一單",0.000096
293,PTT,蝦皮,2023-05-16,跟店家說明，再下一單，之後直接按,0.000059
294,PTT,蝦皮,2023-05-18,再用蝦皮安心退把他退掉就好啦,0.000806
295,PTT,蝦皮,2023-05-15,"已經點退貨但你還是收貨了. 當下拒收才對",0.000033
296,PTT,蝦皮,2023-05-15,問賣家看能不能改匯款的就好了,0.000136
297,PTT,蝦皮,2023-05-15,如果收貨沒拆就聯絡賣家請貨運載走就好了,0.000041
298,PTT,蝦皮,2023-05-15,有蠻多賣家用這方法躲蝦皮手續費就是,0.003717
299,PTT,蝦皮,2023-05-15,想辦法把錢給買家就行了，沒有糾紛問,0.001434
300,PTT,蝦皮,2023-05-15,題，甚至賣家還不用被抽手續費。,0.000058
301,PTT,蝦皮,2023-05-15,我是建議蝦皮退貨接用安心退啦，後續,0.000039
302,PTT,蝦皮,2023-05-16,店家自行出貨寫原單號就好，這樣蝦皮上還,0.003502
303,PTT,蝦皮,2023-05-10,搞不好寄件成功不代表過關，如果物,0.003968
304,PTT,蝦皮,2023-05-12,我有寄超過尺寸的東西，竟然沒被退，,0.000033
